ejemplo@correo.com,Correo
"si, ejemplo@correo.com",Correo
"Claro, es ejemplo@correo.com",Correo
mi correo es yo@gmail.com,Correo
"claro, es pablo@hotmail.com",Correo
"Claro, mi correo es ejemplo@correo.com",Correo
Mi correo es ejemplo@correo.com,Correo
23 años,Edad
"Claro, tengo 23 años",Edad
"Si, tengo 23 años",Edad
mi edad es 30,Edad
soy niño,Genero
mujer,Genero
"No, gracias.",No
Por el momento no.,No
No,No
Nop,No
rosa,Personaje
quiero jugar como girasol,Personaje
escojo imp,Personaje
mi personaje sería sol,Personaje
sería flor,Personaje
me encantaría jugar con rosa,Personaje
el poderoso cactus,Personaje
uso la plataforma xbox,Plataforma
juego con la consola play,Plataforma
juego en stream,Plataforma
play,Plataforma
uso stream,Plataforma
Tengo la xbox,Plataforma
tengo la ps4,Plataforma
Yes,Si
Si,Si
Por supuesto,Si
Siii,Si
